file,rows,missing_cols,high_missing,reasons
FRDU.parquet,52,,,low_rows(52)
FRIZ.parquet,24,,,low_rows(24)
FRMI.parquet,3,,,low_rows(3)
FSHPR.parquet,1,,,low_rows(1)
FTBI.parquet,89,,,low_rows(89)
FTKI.parquet,151,,,low_rows(151)
FTRK.parquet,92,,,low_rows(92)
FVN.parquet,229,,,low_rows(229)
FVNNR.parquet,82,,,low_rows(82)
GAINI.parquet,198,,,low_rows(198)
GBND.parquet,70,,,low_rows(70)
GBUG.parquet,157,,,low_rows(157)
GBXA.parquet,180,,,low_rows(180)
GBXB.parquet,157,,,low_rows(157)
GBXC.parquet,149,,,low_rows(149)
GDFN.parquet,7,,,low_rows(7)
GECCG.parquet,16,,,low_rows(16)
GELS.parquet,233,,,low_rows(233)
GEME.parquet,176,,,low_rows(176)
GEMI.parquet,16,,,low_rows(16)
GEND.parquet,124,,,low_rows(124)
GENVR.parquet,116,,,low_rows(116)
GENW.parquet,182,,,low_rows(182)
GEOA.parquet,63,,,low_rows(63)
GEVX.parquet,60,,,low_rows(60)
GGOV.parquet,70,,,low_rows(70)
GIGL.parquet,70,,,low_rows(70)
GIND.parquet,127,,,low_rows(127)
GKAT.parquet,29,,,low_rows(29)
GLBL.parquet,113,,,low_rows(113)
GLCR.parquet,132,,,low_rows(132)
GLDY.parquet,128,,,low_rows(128)
GLGG.parquet,31,,,low_rows(31)
GLIBA.parquet,60,,,low_rows(60)
GLIBK.parquet,60,,,low_rows(60)
GLXU.parquet,40,,,low_rows(40)
GLXY.parquet,97,,,low_rows(97)
GMEU.parquet,113,,,low_rows(113)
GMEY.parquet,19,,,low_rows(19)
GMMF.parquet,160,,,low_rows(160)
GMOI.parquet,233,,,low_rows(233)
GMOV.parquet,233,,,low_rows(233)
GOOW.parquet,51,,,low_rows(51)
GPTY.parquet,176,,,low_rows(176)
GPZ.parquet,84,,,low_rows(84)
GQGU.parquet,59,,,low_rows(59)
GRAN.parquet,67,,,low_rows(67)
GRIN.parquet,70,,,low_rows(70)
GRNY.parquet,226,,,low_rows(226)
GRO.parquet,212,,,low_rows(212)
GROZ.parquet,207,,,low_rows(207)
GSHR.parquet,101,,,low_rows(101)
GSHRU.parquet,136,,,low_rows(136)
GSKH.parquet,186,,,low_rows(186)
GSRFU.parquet,22,,,low_rows(22)
GSRT.parquet,197,,,low_rows(197)
GSRTR.parquet,197,,,low_rows(197)
GSRTU.parquet,226,,,low_rows(226)
GSX.parquet,14,,,low_rows(14)
GTEN.parquet,73,,,low_rows(73)
GTENU.parquet,107,,,low_rows(107)
GTERA.parquet,50,,,low_rows(50)
GTERR.parquet,1,,,low_rows(1)
GTERU.parquet,62,,,low_rows(62)
GTOC.parquet,52,,,low_rows(52)
GXIG.parquet,76,,,low_rows(76)
GXLC.parquet,8,,,low_rows(8)
GXPC.parquet,52,,,low_rows(52)
GXPD.parquet,52,,,low_rows(52)
GXPE.parquet,52,,,low_rows(52)
GXPS.parquet,52,,,low_rows(52)
GXPT.parquet,52,,,low_rows(52)
HBDC.parquet,80,,,low_rows(80)
HBNB.parquet,86,,,low_rows(86)
HBTA.parquet,176,,,low_rows(176)
HBTC.parquet,138,,,low_rows(138)
HCAI.parquet,167,,,low_rows(167)
HCHL.parquet,72,,,low_rows(72)
HCMA.parquet,10,,,low_rows(10)
HCMAU.parquet,45,,,low_rows(45)
HECA.parquet,67,,,low_rows(67)
HEQQ.parquet,132,,,low_rows(132)
HFEQ.parquet,58,,,low_rows(58)
HFGM.parquet,119,,,low_rows(119)
HFMF.parquet,58,,,low_rows(58)
HFSP.parquet,236,,,low_rows(236)
